team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Chile,Chile,CONMEBOL,36.0,6.0,42.0,0.8571428571428571,0.14285714285714285,1.416421612980521,1.3924156827775074,0.9768479493439296,1.3330488637155677,1.2966312944533607,0.6425660038923019,0.6425660038923019,0.8811792838815778,0.6766536153193413,0.6457233665634682
China,China PR,AFC,33.0,3.0,36.0,0.9166666666666666,0.08333333333333333,0.8929436184637289,0.877809747317157,1.0938112083977352,0.8958098690738718,0.8713372343185062,1.2076060156059565,1.2076060156059565,0.953193712104796,1.186404990314193,1.1321736958308126
Colombia,Colombia,CONMEBOL,38.0,8.0,46.0,0.8260869565217391,0.17391304347826086,2.229271932801685,2.191489576240658,2.053368215200003,2.167468469972718,2.108255386883722,0.5453531481388241,0.5453531481388241,0.4587483876356528,0.5302914506600117,0.5060515055674459
Comoros,Comoros,CAF,32.0,14.0,46.0,0.6956521739130435,0.30434782608695654,1.228824813408103,1.2079983289545564,1.2491921492134317,1.2205355785985619,1.1871917603931963,1.049302877744246,1.049302877744246,1.029072744189509,1.0431458805754128,0.9954630472255389
Congo,Congo,CAF,19.0,3.0,22.0,0.8636363636363636,0.13636363636363635,1.1079415908063948,1.0891638707729177,1.1712500994194162,1.1003574474065312,1.0702967762302171,1.330639050115842,1.330639050115842,1.5338761496455209,1.3583532000517073,1.296262048205711
Costa Rica,Costa Rica,CONCACAF,46.0,12.0,58.0,0.7931034482758621,0.20689655172413793,1.3059256253527454,1.2837924136555754,1.0521006206999866,1.2358561806302812,1.2020938188134882,0.7972975202944752,0.7972975202944752,1.3730909543362262,0.9164271963031133,0.8745367511675689
Croatia,Croatia,UEFA,41.0,8.0,49.0,0.8367346938775511,0.16326530612244897,2.159922976005524,2.123315965966496,1.6779575623388132,2.050604389864017,1.9945839172242439,0.6584867789541109,0.6584867789541109,0.6516751406924638,0.6573746747481276,0.6273256781042911
Cuba,Cuba,CONCACAF,31.0,7.0,38.0,0.8157894736842105,0.18421052631578946,0.6662961294921006,0.655003546667508,0.1605410662395399,0.5639183529044614,0.5485126643103561,1.201131515475123,1.201131515475123,1.669641887793753,1.2874360577443442,1.2285865716531186
Curaçao,Curacao,CONCACAF,24.0,11.0,35.0,0.6857142857142857,0.3142857142857143,0.5544019548658093,0.5450057874316528,0.9185922596664864,0.6624186787054577,0.6443220591673737,1.3939913503302828,1.3939913503302828,0.6699716645593586,1.1664423062308495,1.1131235181917616
Cyprus,Cyprus,UEFA,32.0,8.0,40.0,0.8,0.2,0.9078863478715672,0.8924992229508932,1.4502085037376018,1.004041079108235,0.9766116753288346,1.0826970195997538,1.0826970195997538,1.2411530959972543,1.114388234879254,1.0634488701362361
Czech Republic,Czech Republic,UEFA,35.0,8.0,43.0,0.813953488372093,0.18604651162790697,1.9554426899984885,1.9223012720040833,1.5782443988870882,1.8582906909590609,1.807524037320657,0.8667178331393042,0.8667178331393042,0.5706029957576157,0.8116267006031762,0.7745267499368117
DR Congo,Congo DR,CAF,36.0,12.0,48.0,0.75,0.25,1.345664984760727,1.3228582587091318,1.8974027679584653,1.4664943860214652,1.4264312177991714,0.7843844615635419,0.7843844615635419,0.7601968445341055,0.7783375573061829,0.7427592736489571
Denmark,Denmark,UEFA,37.0,8.0,45.0,0.8222222222222222,0.17777777777777778,2.0904545165205555,2.0550248783702534,2.031902506377127,2.050914234460364,1.994885297174354,0.6549087121475059,0.6549087121475059,0.7175363244404542,0.6660425098884746,0.6355973012227171
Djibouti,Djibouti,CAF,13.0,5.0,18.0,0.7222222222222222,0.2777777777777778,0.6656230635802871,0.6543418880747816,0.3782574565016571,0.5776517681933581,0.5618708963512089,1.167916526203043,1.167916526203043,1.574673201158411,1.2809044914684231,1.222353567248598
Dominica,Dominica,CONCACAF,20.0,4.0,24.0,0.8333333333333334,0.16666666666666666,0.2614643892364595,0.2570330138457831,0.1564817345978651,0.24027446730446342,0.233710407806591,1.9940476592718352,1.9940476592718352,2.22909413368341,2.033222071673764,1.940282252792989
Dominican Republic,Dominican Republic,CONCACAF,27.0,9.0,36.0,0.75,0.25,0.7095988813805718,0.6975723907774573,0.9054775668175392,0.7495486847874777,0.7290717601325474,1.4406398245208858,1.4406398245208858,0.8695358254423189,1.297863824751244,1.238537679080893
