rank,name,confed,off,defe,spi
155,Chad,CAF,0.2887921258099015,1.3938468235007473,5.279220882004178
156,Sint Maarten,CONCACAF,0.2778947368421053,5.052631578947368,5.080012807210682
157,Guadeloupe,CONCACAF,0.2683870967741935,3.290322580645161,4.906209827491839
158,Belize,CONCACAF,0.2473884726058638,1.8353833312859893,4.52234764672111
159,French Guiana,CONCACAF,0.2472727272727273,4.363636363636363,4.520231781622728
160,New Caledonia,OFC,0.242592278529181,1.5178588652853024,4.4346715445671485
161,Indonesia,AFC,0.2412500000000001,3.890625,4.410134224441661
162,Aruba,CONCACAF,0.24,5.25,4.387283788045588
163,Tuvalu,OFC,0.2133333333333333,4.0,3.899807811596078
164,Saint Lucia,CONCACAF,0.2066666666666666,4.375,3.7779388174837
165,Barbados,CONCACAF,0.2025367242451996,1.9061133386611055,3.702442028186767
166,Saint Vincent and the Grenadines,CONCACAF,0.2012903225806452,5.225806451612903,3.6796573706188815
167,Bonaire,CONCACAF,0.2,4.166666666666667,3.656069823371324
168,Montserrat,CONCACAF,0.1963636363636363,5.181818181818182,3.5895958265827534
169,Dominica,CONCACAF,0.1959999999999999,4.2,3.5829484269038954
170,Fiji,OFC,0.1742307692307692,2.790201060180689,3.1849992884369405
171,Vanuatu,OFC,0.172,4.95,3.144220048099338
172,Philippines,AFC,0.1717073170731707,4.536585365853658,3.138869702016355
173,Taiwan,AFC,0.1704347826086957,4.826086956521739,3.1156073277425205
174,Singapore,AFC,0.1683333333333334,4.25,3.077192101337532
175,Papua New Guinea,OFC,0.1672727272727273,4.636363636363637,3.057803852274198
176,Cambodia,AFC,0.1663157894736842,4.7368421052631575,3.0403106952245738
177,Bahamas,CONCACAF,0.1636363636363636,5.454545454545454,2.991329855485628
178,Tahiti,OFC,0.16,3.9375,2.924855858697059
179,Samoa,OFC,0.16,6.0,2.924855858697059
180,Hong Kong,AFC,0.1562790697674419,3.697674418604651,2.8568359550064306
181,India,AFC,0.1523809523809524,3.2142857142857144,2.7855770082829134
182,Turks and Caicos Islands,CONCACAF,0.151578947368421,4.894736842105263,2.7709160766603707
183,Cayman Islands,CONCACAF,0.1422222222222222,5.0,2.599871874397385
184,Mauritius,CAF,0.1371428571428571,3.75,2.507019307454621
185,United States Virgin Islands,CONCACAF,0.1333333333333333,5.666666666666667,2.4373798822475488
186,Maldives,AFC,0.1314285714285714,3.9642857142857135,2.402560169644012
187,Djibouti,CAF,0.1295238095238095,5.285714285714286,2.367740457040476
188,Brunei,AFC,0.1252173913043478,4.434782608695652,2.289017628545524
189,Grenada,CONCACAF,0.1187878787878788,4.727272727272728,2.1714838950932713
190,Myanmar,AFC,0.1172093023255814,4.883720930232558,2.1426269662548223
191,Sri Lanka,AFC,0.1155555555555555,4.333333333333333,2.1123958979478745
192,Laos,AFC,0.1152,5.52,2.1058962182618823
193,Afghanistan,AFC,0.1107692307692307,4.384615384615385,2.0249002098671935
194,Yemen,AFC,0.1066666666666666,4.375,1.949903905798038
