team,name,confed,prior_matches,stage2_matches,stage1_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Cuba,Cuba,CONCACAF,44.0,7.0,37.0,2.0,46.0,0.9565217391304348,0.043478260869565216,0.1609065257279115,0.1609065257279115,0.4031183538151288,0.17143747477518181,0.16968808955234502,1.669641887793753,1.669641887793753,0.3794875063330413,1.6135482190345918,1.6010182497094436
Curaçao,Curacao,CONCACAF,41.0,11.0,30.0,7.0,48.0,0.8541666666666666,0.14583333333333334,0.9206833648590912,0.9206833648590912,1.190030185154954,0.9599631094855711,0.9501674374459266,0.6699716645593586,0.6699716645593586,1.0261877966079531,0.721919850483112,0.7163137994986667
Cyprus,Cyprus,UEFA,49.0,8.0,41.0,4.0,53.0,0.9245283018867925,0.07547169811320754,1.4546403422374945,1.4546403422374945,0.8725754177865976,1.4107109139770493,1.396315713453696,1.2401884692387075,1.2401884692387075,1.0851425145709528,1.2284868877543487,1.2189471028019545
Czech Republic,Czech Republic,UEFA,57.0,8.0,49.0,7.0,64.0,0.890625,0.109375,1.5753904633383593,1.5753904633383593,2.2491690698312903,1.6490849984235236,1.6322573769759545,0.5735436230647708,0.5735436230647708,1.2031150841318798,0.6424030016189858,0.6374144367842237
DR Congo,Congo DR,CAF,56.0,12.0,44.0,8.0,64.0,0.875,0.125,1.8989884407295707,1.8989884407295707,1.3733638651544855,1.833285368782685,1.8145781267540853,0.7607564168860526,0.7607564168860526,0.9055537622715154,0.7788560850592354,0.7728078971344047
Denmark,Denmark,UEFA,60.0,8.0,52.0,4.0,64.0,0.9375,0.0625,2.031783283694617,2.031783283694617,1.9125194983900276,2.02432929711308,2.003672601351729,0.7191598454498641,0.7191598454498641,0.6302979113888284,0.7136059745710494,0.7080644847871447
Djibouti,Djibouti,CAF,26.0,5.0,21.0,0.0,26.0,1.0,0.0,0.3791185307411888,0.3791185307411888,0.3791185307411888,0.3791185307411888,0.37524992292220427,1.574673201158411,1.574673201158411,1.574673201158411,1.574673201158411,1.5624451148360494
Dominica,Dominica,CONCACAF,26.0,4.0,22.0,2.0,28.0,0.9285714285714286,0.07142857142857142,0.1568379533274723,0.1568379533274723,0.0012540842602939,0.14572481982267385,0.14423781211486292,2.22909413368341,2.22909413368341,0.5336539515652271,2.1079912635321114,2.0916217088090794
Dominican Republic,Dominican Republic,CONCACAF,38.0,9.0,29.0,3.0,41.0,0.926829268292683,0.07317073170731707,0.9091387095542532,0.9091387095542532,0.7529650347824431,0.8977113674977794,0.888550925752282,0.8682168011078385,0.8682168011078385,2.725289970847091,1.0041002037716862,0.996302888138837
East Timor,Timor-Leste,AFC,25.0,4.0,21.0,0.0,25.0,1.0,0.0,0.0011464868608664,0.0011464868608664,0.0011464868608664,0.0011464868608664,0.0011347878599612224,2.867315150197835,2.867315150197835,2.867315150197835,2.867315150197835,2.845049084360021
Ecuador,Ecuador,CONMEBOL,65.0,8.0,57.0,8.0,73.0,0.8904109589041096,0.1095890410958904,1.3786676329238614,1.3786676329238614,1.520896797613019,1.3942543906980158,1.380027116111984,0.2821733584222525,0.2821733584222525,0.964826766267022,0.35698469078880257,0.354212534882729
Egypt,Egypt,CAF,71.0,16.0,55.0,8.0,79.0,0.8987341772151899,0.10126582278481013,1.174325273944996,1.174325273944996,2.285312489189876,1.2868303084001738,1.2736992124786672,0.9720059918591932,0.9720059918591932,0.9396505479254462,0.9687294912076745,0.9612068459802137
El Salvador,El Salvador,CONCACAF,74.0,12.0,62.0,4.0,78.0,0.9487179487179487,0.05128205128205128,0.4221195839645932,0.4221195839645932,0.4122678270248448,0.4216143656599907,0.41731212111288385,1.3450533358570338,1.3450533358570338,0.5340801404856509,1.3034649668636296,1.2933429414673396
