date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,backend_home,backend_away,home_in_prior,away_in_prior
2026-03-31,DR Congo,Jamaica,1.0,0.0,FIFA World Cup qualification,Zapopan,Mexico,True,DR Congo,Jamaica,True,True
2026-03-31,Iraq,Bolivia,2.0,1.0,FIFA World Cup qualification,Guadalupe,Mexico,True,Iraq,Bolivia,True,True
2026-03-31,Bosnia and Herzegovina,Italy,1.0,1.0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False,Bosnia and Herzegovina,Italy,True,True
2026-03-31,Sweden,Poland,3.0,2.0,FIFA World Cup qualification,Solna,Sweden,False,Sweden,Poland,True,True
2026-03-31,Kosovo,Turkey,0.0,1.0,FIFA World Cup qualification,Pristina,Kosovo,False,Kosovo,Turkey,True,True
2026-03-31,Czech Republic,Denmark,2.0,2.0,FIFA World Cup qualification,Prague,Czech Republic,False,Czech Republic,Denmark,True,True
2026-03-31,Cameroon,China,2.0,0.0,FIFA Series,Melbourne,Australia,True,Cameroon,China,True,True
2026-03-31,Australia,Curaçao,5.0,1.0,FIFA Series,Melbourne,Australia,False,Australia,Curaçao,True,True
2026-03-31,Kazakhstan,Comoros,1.0,0.0,FIFA Series,Astana,Kazakhstan,False,Kazakhstan,Comoros,True,True
2026-05-16,Republic of Ireland,Grenada,5.0,0.0,Friendly,Murcia,Spain,True,Republic of Ireland,Grenada,True,True
2026-05-22,Mexico,Ghana,2.0,0.0,Friendly,Puebla,Mexico,False,Mexico,Ghana,True,True
2026-05-26,Morocco,Burundi,5.0,0.0,Friendly,Salé,Morocco,False,Morocco,Burundi,True,True
2026-05-26,Nigeria,Zimbabwe,2.0,0.0,Unity Cup,London,England,True,Nigeria,Zimbabwe,True,True
2026-05-27,India,Jamaica,0.0,2.0,Unity Cup,London,England,True,India,Jamaica,True,True
2026-05-28,Republic of Ireland,Qatar,1.0,0.0,Friendly,Dublin,Republic of Ireland,False,Republic of Ireland,Qatar,True,True
2026-05-29,Andorra,Iraq,0.0,1.0,Friendly,Girona,Spain,True,Andorra,Iraq,True,True
2026-05-29,Bosnia and Herzegovina,North Macedonia,0.0,0.0,Friendly,Sarajevo,Bosnia and Herzegovina,False,Bosnia and Herzegovina,North Macedonia,True,True
2026-05-29,Iran,Gambia,3.0,1.0,Friendly,Aksu,Turkey,True,Iran,Gambia,True,True
2026-05-29,South Africa,Nicaragua,0.0,0.0,Friendly,Johannesburg,South Africa,False,South Africa,Nicaragua,True,True
2026-05-30,Ecuador,Saudi Arabia,2.0,1.0,Friendly,Harrison,United States,True,Ecuador,Saudi Arabia,True,True
2026-05-30,South Korea,Trinidad and Tobago,5.0,0.0,Friendly,Provo,United States,True,South Korea,Trinidad and Tobago,True,True
2026-05-30,Mexico,Australia,1.0,0.0,Friendly,Pasadena,United States,True,Mexico,Australia,True,True
2026-05-30,Scotland,Curaçao,4.0,1.0,Friendly,Glasgow,Scotland,False,Scotland,Curaçao,True,True
2026-05-30,Zimbabwe,India,1.0,0.0,Unity Cup,London,England,True,Zimbabwe,India,True,True
2026-05-30,Nigeria,Jamaica,3.0,0.0,Unity Cup,London,England,True,Nigeria,Jamaica,True,True
2026-05-31,Brazil,Panama,6.0,2.0,Friendly,Rio de Janeiro,Brazil,False,Brazil,Panama,True,True
2026-05-31,Cape Verde,Serbia,3.0,0.0,Friendly,Lisbon,Portugal,True,Cape Verde,Serbia,True,True
2026-05-31,Czech Republic,Kosovo,2.0,1.0,Friendly,Prague,Czech Republic,False,Czech Republic,Kosovo,True,True
2026-05-31,Germany,Finland,4.0,0.0,Friendly,Mainz,Germany,False,Germany,Finland,True,True
2026-05-31,Poland,Ukraine,0.0,2.0,Friendly,Wrocław,Poland,False,Poland,Ukraine,True,True
2026-05-31,Switzerland,Jordan,4.0,1.0,Friendly,St. Gallen,Switzerland,False,Switzerland,Jordan,True,True
2026-05-31,United States,Senegal,3.0,2.0,Friendly,Charlotte,United States,False,United States,Senegal,True,True
2026-05-31,Japan,Iceland,1.0,0.0,Friendly,Tokyo,Japan,False,Japan,Iceland,True,True
2026-06-01,Austria,Tunisia,1.0,0.0,Friendly,Vienna,Austria,False,Austria,Tunisia,True,True
2026-06-01,Bulgaria,Montenegro,0.0,1.0,Friendly,Plovdiv,Bulgaria,False,Bulgaria,Montenegro,True,True
2026-06-01,Canada,Uzbekistan,2.0,0.0,Friendly,Edmonton,Canada,False,Canada,Uzbekistan,True,True
2026-06-01,Colombia,Costa Rica,3.0,1.0,Friendly,Bogotá,Colombia,False,Colombia,Costa Rica,True,True
2026-06-01,Norway,Sweden,3.0,1.0,Friendly,Oslo,Norway,False,Norway,Sweden,True,True
2026-06-01,Slovakia,Malta,2.0,1.0,Friendly,Dunajská Streda,Slovakia,False,Slovakia,Malta,True,True
2026-06-01,Turkey,North Macedonia,4.0,0.0,Friendly,Istanbul,Turkey,False,Turkey,North Macedonia,True,True
2026-06-01,Maldives,Afghanistan,0.0,1.0,Diamond Jubilee International Football Tournament,Malé,Maldives,False,Maldives,Afghanistan,True,True
2026-06-02,Croatia,Belgium,0.0,2.0,Friendly,Rijeka,Croatia,False,Croatia,Belgium,True,True
2026-06-02,Georgia,Romania,1.0,1.0,Friendly,Tbilisi,Georgia,False,Georgia,Romania,True,True
2026-06-02,Haiti,New Zealand,4.0,0.0,Friendly,Fort Lauderdale,United States,True,Haiti,New Zealand,True,True
2026-06-02,Morocco,Madagascar,4.0,0.0,Friendly,Rabat,Morocco,False,Morocco,Madagascar,True,True
2026-06-02,Wales,Ghana,1.0,1.0,Friendly,Cardiff,Wales,False,Wales,Ghana,True,True
2026-06-03,Albania,Israel,0.0,1.0,Friendly,Tirana,Albania,False,Albania,Israel,True,True
2026-06-03,DR Congo,Denmark,0.0,0.0,Friendly,Liège,Belgium,True,DR Congo,Denmark,True,True
2026-06-03,Gibraltar,British Virgin Islands,4.0,0.0,Friendly,Europa Point,Gibraltar,False,Gibraltar,British Virgin Islands,True,True
2026-06-03,South Korea,El Salvador,1.0,0.0,Friendly,Provo,United States,True,South Korea,El Salvador,True,True
2026-06-03,Luxembourg,Italy,0.0,1.0,Friendly,Luxembourg,Luxembourg,False,Luxembourg,Italy,True,True
2026-06-03,Netherlands,Algeria,0.0,1.0,Friendly,Rotterdam,Netherlands,False,Netherlands,Algeria,True,True
2026-06-03,Panama,Dominican Republic,4.0,2.0,Friendly,Panama City,Panama,False,Panama,Dominican Republic,True,True
2026-06-03,Poland,Nigeria,2.0,2.0,Friendly,Warsaw,Poland,False,Poland,Nigeria,True,True
2026-06-04,Maldives,Pakistan,0.0,3.0,Diamond Jubilee International Football Tournament,Malé,Maldives,False,Maldives,Pakistan,True,True
2026-06-04,Andorra,Liechtenstein,2.0,0.0,Friendly,Encamp,Andorra,False,Andorra,Liechtenstein,True,True
2026-06-04,Cambodia,Bhutan,4.0,0.0,Friendly,Phnom Penh,Cambodia,False,Cambodia,Bhutan,True,True
2026-06-04,France,Ivory Coast,1.0,2.0,Friendly,Nantes,France,False,France,Ivory Coast,True,True
2026-06-04,Guatemala,Czech Republic,1.0,5.0,Friendly,Harrison,United States,True,Guatemala,Czech Republic,True,True
2026-06-04,Iran,Mali,2.0,0.0,Friendly,Antalya,Turkey,True,Iran,Mali,True,True
2026-06-04,Lesotho,Kenya,1.0,1.0,Friendly,Pretoria,South Africa,True,Lesotho,Kenya,True,True
2026-06-04,Mexico,Serbia,5.0,1.0,Friendly,Toluca,Mexico,False,Mexico,Serbia,True,True
2026-06-04,Northern Ireland,Guinea,1.0,0.0,Friendly,La Línea de la Concepción,Spain,True,Northern Ireland,Guinea,True,True
2026-06-04,Slovenia,Cyprus,1.0,1.0,Friendly,Ljubljana,Slovenia,False,Slovenia,Cyprus,True,True
2026-06-04,Spain,Iraq,1.0,1.0,Friendly,A Coruña,Spain,False,Spain,Iraq,True,True
2026-06-04,Sweden,Greece,2.0,2.0,Friendly,Solna,Sweden,False,Sweden,Greece,True,True
2026-06-05,Angola,Mauritania,1.0,1.0,Friendly,Casablanca,Morocco,True,Angola,Mauritania,True,True
2026-06-05,Azerbaijan,Malta,0.0,2.0,Friendly,Szombathely,Hungary,True,Azerbaijan,Malta,True,True
2026-06-05,Belarus,Syria,4.0,1.0,Friendly,Minsk,Belarus,False,Belarus,Syria,True,True
2026-06-05,Canada,Republic of Ireland,1.0,1.0,Friendly,Montreal,Canada,False,Canada,Republic of Ireland,True,True
2026-06-05,Georgia,Bahrain,2.0,0.0,Friendly,Tbilisi,Georgia,False,Georgia,Bahrain,True,True
2026-06-05,Haiti,Peru,1.0,2.0,Friendly,Miami,United States,True,Haiti,Peru,True,True
2026-06-05,Hungary,Finland,2.0,1.0,Friendly,Budapest,Hungary,False,Hungary,Finland,True,True
2026-06-05,Indonesia,Oman,3.0,0.0,Friendly,Jakarta,Indonesia,False,Indonesia,Oman,True,True
2026-06-05,Moldova,Bulgaria,2.0,2.0,Friendly,Chișinău,Moldova,False,Moldova,Bulgaria,True,True
2026-06-05,Paraguay,Nicaragua,4.0,0.0,Friendly,Asunción,Paraguay,False,Paraguay,Nicaragua,True,True
2026-06-05,San Marino,Bangladesh,1.0,2.0,Friendly,Serravalle,San Marino,False,San Marino,Bangladesh,True,True
2026-06-05,Singapore,China,1.0,2.0,Friendly,Singapore,Singapore,False,Singapore,China,True,True
2026-06-05,Slovakia,Montenegro,2.0,2.0,Friendly,Košice,Slovakia,False,Slovakia,Montenegro,True,True
2026-06-05,Tajikistan,India,3.0,1.0,Friendly,Tursunzoda,Tajikistan,False,Tajikistan,India,True,True
2026-06-05,Thailand,Kuwait,2.0,2.0,Friendly,Pathum Thani,Thailand,False,Thailand,Kuwait,True,True
2026-06-05,Benin,Niger,1.0,1.0,Friendly,Casablanca,Morocco,True,Benin,Niger,True,True
2026-06-05,Central African Republic,Togo,1.0,1.0,Friendly,Mohammedia,Morocco,True,Central African Republic,Togo,True,True
2026-06-05,Puerto Rico,Saudi Arabia,0.0,3.0,Friendly,Austin,United States,True,Puerto Rico,Saudi Arabia,True,True
2026-06-06,Vanuatu,Fiji,2.0,1.0,Friendly,Port Vila,Vanuatu,False,Vanuatu,Fiji,True,True
2026-06-06,Albania,Luxembourg,0.0,1.0,Friendly,Tirana,Albania,False,Albania,Luxembourg,True,True
2026-06-06,Argentina,Honduras,2.0,0.0,Friendly,College Station,United States,True,Argentina,Honduras,True,True
2026-06-06,Armenia,Kazakhstan,1.0,1.0,Friendly,Yerevan,Armenia,False,Armenia,Kazakhstan,True,True
2026-06-06,Australia,Switzerland,1.0,1.0,Friendly,San Diego,United States,True,Australia,Switzerland,True,True
2026-06-06,Belgium,Tunisia,5.0,0.0,Friendly,Brussels,Belgium,False,Belgium,Tunisia,True,True
2026-06-06,Bermuda,Cape Verde,3.0,0.0,Friendly,East Hartford,United States,True,Bermuda,Cape Verde,True,True
2026-06-06,Bolivia,Scotland,0.0,4.0,Friendly,Harrison,United States,True,Bolivia,Scotland,True,True
2026-06-06,Brazil,Egypt,2.0,1.0,Friendly,Cleveland,United States,True,Brazil,Egypt,True,True
2026-06-06,Curaçao,Aruba,4.0,0.0,Friendly,Willemstad,Curaçao,False,Curaçao,Aruba,True,True
2026-06-06,England,New Zealand,1.0,0.0,Friendly,Tampa,United States,True,England,New Zealand,True,True
2026-06-06,Sierra Leone,Liberia,1.0,0.0,Friendly,Bo,Sierra Leone,False,Sierra Leone,Liberia,True,True
2026-06-06,Ethiopia,Malawi,1.0,0.0,Friendly,Dire Dawa,Ethiopia,False,Ethiopia,Malawi,True,True
2026-06-06,Jamaica,South Africa,0.0,1.0,Friendly,Pachuca,Mexico,True,Jamaica,South Africa,True,True
2026-06-06,Kyrgyzstan,Palestine,0.0,0.0,Friendly,Bishkek,Kyrgyzstan,False,Kyrgyzstan,Palestine,True,True
2026-06-06,Panama,Bosnia and Herzegovina,1.0,1.0,Friendly,St. Louis,United States,True,Panama,Bosnia and Herzegovina,True,True
2026-06-06,Portugal,Chile,2.0,1.0,Friendly,Oeiras,Portugal,False,Portugal,Chile,True,True
2026-06-06,Qatar,El Salvador,0.0,0.0,Friendly,Los Angeles,United States,True,Qatar,El Salvador,True,True
2026-06-06,Romania,Wales,2.0,1.0,Friendly,Bucharest,Romania,False,Romania,Wales,True,True
2026-06-06,United States,Germany,1.0,2.0,Friendly,Chicago,United States,False,United States,Germany,True,True
2026-06-06,British Virgin Islands,Bonaire,2.0,0.0,Friendly,Málaga,Spain,True,British Virgin Islands,Bonaire,True,True
2026-06-06,Gibraltar,Cayman Islands,4.0,1.0,Friendly,Europa Point,Gibraltar,False,Gibraltar,Cayman Islands,True,True
2026-06-06,Venezuela,Turkey,1.0,2.0,Friendly,Fort Lauderdale,United States,True,Venezuela,Turkey,True,True
2026-06-06,Lithuania,Latvia,1.0,1.0,Baltic Cup,Kaunas,Lithuania,False,Lithuania,Latvia,True,True
2026-06-06,Estonia,Faroe Islands,1.0,0.0,Baltic Cup,Pärnu,Estonia,False,Estonia,Faroe Islands,True,True
2026-06-07,Afghanistan,Pakistan,0.0,2.0,Diamond Jubilee International Football Tournament,Malé,Maldives,True,Afghanistan,Pakistan,True,True
2026-06-07,Croatia,Slovenia,2.0,1.0,Friendly,Varaždin,Croatia,False,Croatia,Slovenia,True,True
2026-06-07,Ecuador,Guatemala,3.0,0.0,Friendly,Columbus,United States,True,Ecuador,Guatemala,True,True
2026-06-07,Greece,Italy,0.0,1.0,Friendly,Heraklion,Greece,False,Greece,Italy,True,True
2026-06-07,Jordan,Colombia,0.0,2.0,Friendly,San Diego,United States,True,Jordan,Colombia,True,True
2026-06-07,Kosovo,Andorra,3.0,0.0,Friendly,Pristina,Kosovo,False,Kosovo,Andorra,True,True
2026-06-07,Liechtenstein,Cyprus,0.0,2.0,Friendly,Vaduz,Liechtenstein,False,Liechtenstein,Cyprus,True,True
2026-06-07,Morocco,Norway,1.0,1.0,Friendly,Harrison,United States,True,Morocco,Norway,True,True
2026-06-07,Denmark,Ukraine,2.0,1.0,Friendly,Odense,Denmark,False,Denmark,Ukraine,True,True
2026-06-08,France,Northern Ireland,3.0,1.0,Friendly,Lille,France,False,France,Northern Ireland,True,True
